train,train_label,val,val_label
623839-3,1,,
638365-6,0,,
491621-2,1,,
603888-3,0,,
511979-3,1,,
541734-4,0,,
628155-2,0,,
435917-3,1,,
652503-7,0,,
422188-8,0,,
455367-3,1,,
641413-B4,0,,
619982-5,0,,
623442-2,1,,
599247-2,0,,
708122-2,1,,
639857-2,0,,
475848-2,0,,
582143-11,0,,
642709-6,0,,
607117-3,0,,
548941-3,0,,
452242-2,0,,
564741-13,1,,
555718-3,0,,
636955-3,0,,
614542-3,0,,
522631-12,0,,
618944-6,0,,
558257-3,0,,
574761-2,0,,
686457-3,0,,
597339-5,0,,
573552-3,0,,
397600-4,0,,
640040-4,1,,
572336-6,0,,
733830-2,0,,
423851-2,0,,
485080-4,0,,
528084-3,0,,
552267-3,0,,
747970-2,0,,
551480-3,0,,
723166-3,0,,
491054-2,0,,
547357-1,1,,
534860-3,0,,
688265-4,0,,
502212-2,1,,
423099-5,0,,
491242-4,0,,
583573-10,0,,
740284-2,0,,
750966-4,0,,
516149-1,0,,
570958-3,1,,
722331-3,0,,
550678-4,0,,
427915-2,0,,
632608-3,0,,
434838-3,1,,
506137-2,1,,
589291-2,0,,
527879-2,0,,
568511-2,1,,
588490-5,0,,
608479-4,0,,
589644-5,0,,
561343-2,0,,
534473-12,0,,
538446-2,1,,
607409-3,0,,
539534-2,0,,
554110-3,0,,
558917-2,0,,
566026-2,0,,
599814-3,0,,
732403-3,0,,
702177-2,1,,
619633-10,0,,
698847-4,1,,
477321-1,1,,
535416-3,0,,
584367-4,0,,
429627-2,0,,
539477-23,0,,
564645-3,0,,
628783-6,1,,
651860-2,0,,
659085-2,0,,
470009-2,0,,
611678-5,0,,
663135-3,1,,
599815-4,1,,
575183-2,0,,
546265-3,0,,
560546-6,1,,
567735-3,0,,
724167-1,0,,
494892-2,0,,
595182-6,1,,
498148-2,0,,
598461-2,0,,
629384-2,0,,
618686-3,0,,
599221-4,0,,
650561-2,0,,
616674-5,0,,
427086-2,0,,
483832-5,0,,
575484-10,0,,
519380-1,1,,
641733-16,0,,
685882-5,0,,
503167-2,0,,
581645-1,0,,
512856-10,0,,
636425-3,0,,
682371-4,1,,
756270-4,1,,
731651-4,0,,
613171-2,0,,
659745-11,0,,
581026-3,0,,
569437-1,1,,
603886-4,1,,
577551-5,0,,
452214-3,0,,
418522-2,0,,
554249-4,1,,
655571-5,0,,
762849-4,0,,
588729-2,0,,
547514-2,0,,
519375-4,0,,
577253-4,0,,
504192-5,1,,
744400-3,0,,
735092-2,1,,
621228-4,0,,
534531-3,0,,
656995-2,0,,
506827-4,0,,
491207-2,0,,
500494-9,0,,
415706-9,0,,
580683-2,0,,
713732-4,0,,
606055-2,0,,
645712-8,0,,
687346-6,0,,
581549-3,0,,
451562-2,0,,
548875-4,0,,
548991-10,0,,
753148-3,0,,
479182-2,0,,
485607-2,1,,
654015-2,1,,
653190-6,1,,
637071-5,0,,
490735-4,0,,
569156-4,0,,
566217-2,0,,
721924-5,0,,
610287-5,0,,
545569-4,0,,
604902-4,0,,
590878-2,1,,
601580-4,0,,
467598-4,0,,
405991-4,0,,
663879-3,0,,
484848-2,0,,
543682-3,0,,
557258-2,0,,
589323-3,0,,
479916-3,0,,
537719-6,0,,
559723-2,0,,
451888-2,0,,
598614-2,0,,
511680-5,0,,
473036-3,1,,
442701-3,1,,
567636-7,0,,
576675-2,1,,
666885-3,0,,
572256-5,1,,
647534-2,1,,
438482-5,1,,
636413-1,0,,
595379-5,0,,
702305-1,0,,
373486-4,1,,
491214-5,0,,
526875-3,0,,
532629-2,0,,
740055-4,0,,
546295-3,0,,
509780-16,1,,
634183-6,0,,
647190-3,1,,
648279-8,0,,
577291-7,0,,
634699-3,0,,
653438-6,0,,
471110-4,0,,
534321-5,0,,
575111-6,0,,
418398-2,0,,
548690-2,0,,
525195-5,0,,
675086-1,0,,
435969-8,0,,
617424-4,0,,
559642-3,0,,
745703-3,0,,
534623-16,0,,
718832-4,0,,
546501-3,0,,
629557-3,0,,
464717-3,0,,
590299-3,1,,
740047-4,1,,
611677-4,0,,
569386-3,0,,
525778-2,0,,
593732-2,0,,
640706-3,0,,
509954-2,0,,
451473-2,1,,
615524-4,1,,
581141-2,0,,
570078-3,0,,
557653-2,0,,
603087-6,1,,
555308-4,1,,
659491-4,0,,
645764-1,0,,
708939-2,0,,
441358-4,1,,
415768-3,0,,
619730-7,0,,
540214-3,0,,
506230-2,0,,
545820-2,0,,
600623-3,0,,
542185-2,0,,
583775-7,0,,
559566-3,0,,
505531-3,1,,
745648-3,0,,
554409-2,0,,
665193-5,1,,
625644-2,0,,
567074-3,0,,
562454-2,0,,
663897-2,0,,
628220-4,0,,
468834-1,0,,
562758-7,0,,
586803-2,0,,
542111-5,1,,
539147-2,0,,
570056-3,0,,
471378-4,0,,
577159-2,0,,
520751-2,0,,
558309-4,1,,
560552-11,0,,
517874-2,0,,
571921-5,0,,
500068-3,0,,
597452-3,0,,
712723-3,0,,
430403-5,0,,
758931-6,0,,
721492-1,0,,
590006-7,1,,
639234-3,1,,
500011-3,0,,
410365-2,0,,
708902-3,0,,
545709-3,1,,
740736-2,0,,
606704-3,0,,
506683-4,0,,
606255-6,0,,
568928-2,0,,
